headerdatestamp|headeridentifier|headersetSpec|metadata.mods.abstract.0|metadata.mods.abstract.1|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@authority|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.locationphysicalLocation|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@authority|metadata.mods.name.role.roleTerm@type|metadata.mods.name.role.roleTerm@valueURI|metadata.mods.name@authority|metadata.mods.name@valueURI|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.2|metadata.mods.originInfo.dateCreated.0|metadata.mods.originInfo.dateCreated.1#text|metadata.mods.originInfo.dateCreated.1@encoding|metadata.mods.originInfo.dateCreated.1@keyDate|metadata.mods.originInfo.dateCreated.1@qualifier|metadata.mods.physicalDescription.form#text|metadata.mods.physicalDescription.form@authority|metadata.mods.physicalDescription.form@valueURI|metadata.mods.physicalDescriptiondigitalOrigin|metadata.mods.recordInfo.languageOfCataloging.languageTerm#text|metadata.mods.recordInfo.languageOfCataloging.languageTerm@authority|metadata.mods.recordInfo.languageOfCataloging.languageTerm@type|metadata.mods.recordInforecordContentSource|metadata.mods.recordInforecordIdentifier|metadata.mods.recordInforecordOrigin|metadata.mods.relatedItem.titleInfotitle|metadata.mods.relatedItem@displayLabel|metadata.mods.relatedItem@type|metadata.mods.subject.0@authority|metadata.mods.subject.0@valueURI|metadata.mods.subject.0topic|metadata.mods.subject.1.cartographicscoordinates|metadata.mods.subject.1.geographic#text|metadata.mods.subject.1.geographic@authority|metadata.mods.subject.1.geographic@valueURI|metadata.mods.subject.1geographic|metadata.mods.subject.1topic|metadata.mods.subject.2.cartographicscoordinates|metadata.mods.subject.2.geographic#text|metadata.mods.subject.2.geographic@authority|metadata.mods.subject.2.geographic@valueURI|metadata.mods.subject.2.hierarchicalGeographiccity|metadata.mods.subject.2.hierarchicalGeographiccitySection|metadata.mods.subject.2.hierarchicalGeographiccountry|metadata.mods.subject.2.hierarchicalGeographicstate|metadata.mods.subject.2geographic|metadata.mods.subject.3.hierarchicalGeographiccity|metadata.mods.subject.3.hierarchicalGeographiccitySection|metadata.mods.subject.3.hierarchicalGeographiccountry|metadata.mods.subject.3.hierarchicalGeographicstate|metadata.mods.titleInfononSort|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xs|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsabstract|metadata.modstypeOfResource
2020-03-10T13:10:52Z|bcpl_131|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_01390|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A131|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A131/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Residence|Address: 545 Martin Valley Rd., Walland TN|Unknown|1870|edtf|yes|inferred|photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_01390|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.72814, -83.81323|    |    |    |Walland (Tenn.)|    |    |    |    |    |Walland|Street: 545 Martin Valley Road|United States|Tennessee|    |    |    |    |    |    |James V. Martin House (NR)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Architectural -- two story frame with side gables and rear ell, front gabled porch; I-house plan with elaborate Eastlake-influenced decoration; one of the most intact and decorative I-house forms in the rural area of the county|still image
2020-03-10T13:10:52Z|bcpl_105|bcpl|Architectural -- built of brick in 1888 in form of Greek cross; handsome oak interior woodwork.|"Historical -- built as a memorial to Prof. Thomas Jefferson Lamar, the college's ""second founder""."|Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_00050|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A105|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A105/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Center for Campus Ministry|Address: 502 E. Lamar Alexander Parkway, Maryville, TN|1888|1888|edtf|yes|    |photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_00050|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|    |    |    |    |    |Maryville College--Buildings|35.75147, -83.96296|Maryville College|naf|http://id.loc.gov/authorities/names/n83201658|    |    |    |    |    |Maryville|Street: 502 East Lamar Alexander Parkway|United States|Tennessee|    |Lamar Memorial Library|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
2020-03-10T13:10:52Z|bcpl_159|bcpl|Architectural -- one story frame house with front and rear gables, interior central chimney, built ca. 1920|"Historical -- typical ""company house"" for laborers"|Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_03415|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A159|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A159/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |Ownership: Private; Current Use: Residence|Address: 1415 Dalton St., Alcoa, TN|    |ca. 1920|1920|edtf|yes|approximate|photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_03415|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.78953, -83.97379|Alcoa (Tenn.)|naf|http://id.loc.gov/authorities/names/n80022862|    |    |    |    |    |    |Alcoa|Street: 1415 Dalton Street|United States|Tennessee|    |    |    |    |    |    |Aluminum Company of America House|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
2020-03-10T13:10:52Z|bcpl_112|bcpl|Architectural -- Italianate style, brick with tin roof, built ca. 1875.|Commercial -- department store; jewelry store.|Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_00074|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A112|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A112/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Commercial|Address: 114 E. Broadway, Maryville, TN|ca. 1875|1875|edtf|yes|approximate|photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_00074|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.74673, -83.979|Maryville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79022085|    |    |    |    |    |    |Maryville|Street: 114 East Broadway|United States|Tennessee|    |    |    |    |    |    |Samuel A. Patton Building (NR)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
2020-03-10T13:10:52Z|bcpl_122|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_00636|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A122|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A122/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Unoccupied|Address: Prater Rd. off Old Lowes Ferry Rd., at Poland Creek, Louisville, TN|1851|1851|edtf|yes|    |photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_00636|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.68724, -83.92553|Blount County (Tenn.)|naf|http://id.loc.gov/authorities/names/n81025935|    |    |    |    |    |    |Louisville|Street: Prater Road|United States|Tennessee|    |    |    |    |    |    |John Russell House (NR)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Architectural -- two story, double pile, five bay, central passage plan I-House built in 1851; brick with frame rear ell|still image
2020-03-10T13:10:52Z|bcpl_110|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_00058|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A110|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A110/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Student residence hall|Address: 502 E. Lamar Alexander Parkway, Maryville, TN|1916|1916|edtf|yes|    |photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_00058|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|    |    |    |    |    |Maryville College--Buildings|35.75147, -83.96296|Maryville College|naf|http://id.loc.gov/authorities/names/n83201658|    |    |    |    |    |Maryville|Street: 502 East Lamar Alexander Parkway|United States|Tennessee|    |Carnegie Hall|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Architectural -- designed by Knoxville architect R. F. Graf in Georgian Colonial style; built in 1916 of tan brick|still image
2020-03-10T13:10:52Z|bcpl_96|bcpl|Architectural -- Greek Revival style with Ionic columns supporting a full entablature, cupola, built in 1907 of yellow brick.|Governmental -- seat of county government.|Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_00003|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A96|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A96/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |Ownership: County; Current Use: Same|Address: 341 Court St., Maryville, TN|    |1907|1907|edtf|yes|    |photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_00003|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.74673, -83.979|Maryville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79022085|    |    |    |    |    |    |Maryville|Street: 341 Court Street|United States|Tennessee|    |    |    |    |    |    |Blount County Courthouse|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|    |still image
2020-03-10T13:10:52Z|bcpl_147|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_02389|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A147|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A147/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Residence|Address: Miser Station Rd.,0..2 mi. S. of Middle settlements Rd., Louisville, TN|1874-1877|1874|edtf|yes|    |photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_02389|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.68724, -83.92553|Blount County (Tenn.)|naf|http://id.loc.gov/authorities/names/n81025935|    |    |    |    |    |    |Louisville|Street: Miser Station Road|United States|Tennessee|    |    |    |    |    |    |Marcus B. Warren House (NR)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Architectural -- built between 1874 and 1877 this house features a gable front design with a flat deck roof; no other house in the county resembles this residence either in its interior floor plan or its exterior design; it has not been significantly al|still image
2020-03-10T13:10:52Z|bcpl_178|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_03870|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A178|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A178/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: Residence|Address: 138 Stanley Ave., Maryville, TN|ca. 1914|1914|edtf|yes|approximate|photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_03870|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|    |    |    |    |College Hill Historic District (Maryville, Tenn.)|    |35.74673, -83.979|Maryville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79022085|    |    |    |    |    |Maryville|Street: 138 Stanley Avenue|United States|Tennessee|    |Will Caldwell House|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Architectural -- two story frame house in Craftsman style, built ca. 1914|still image
2020-03-10T13:10:52Z|bcpl_145|bcpl|    |    |Digital Image Copyright (c) 2004. Blount County Public Library, Maryville, TN. All Rights Reserved. For permission to use, contact: Reference Department, Blount County Public Library, 508 N. Cusick Street, Maryville, TN 37804 (865-982-0982).|local rights statement|bcpl_02203|local|zxx|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A145|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/bcpl%3A145/datastream/TN/view|preview|Blount County Public Library|    |    |    |    |    |    |    |This structure appears on the National Historical Registry.|Ownership: Private; Current Use: None|Address: Old Walland Hwy, 0.1 mi. N of Cold Springs Rd. Walland TN|1842?|1842|edtf|yes|questionable|photographs|aat|http://vocab.getty.edu/aat/300046300|reformatted digital|eng|iso639-2b|code|Blount County Public Library|record_bcpl_02203|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Blount County Historical and Architectural Inventory|Project|host|lcsh|http://id.loc.gov/authorities/subjects/sh85061097|Historic buildings|35.68724, -83.92553|Blount County (Tenn.)|naf|http://id.loc.gov/authorities/names/n81025935|    |    |    |    |    |    |Walland|Street: Old Walland Highway|United States|Tennessee|    |    |    |    |    |    |Peery Mill Site (NR)|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Historical -- a mill site since 1842 and location of Peery Brothers Mill after 1905; operating as a tourist attraction in the late 1980s when it burned; only the dam remains|still image
